20000 100000
11293 15075 1952
8534 10530 114907
4321 18798 174824
2791 15789 62928
2692 13023 12267
12749 4877 136334
16469 19171 169586
6938 3516 71050
12264 10437 168306
16730 9918 20425
3037 18361 142662
3082 10958 60962
4860 17501 152189
2970 13525 55104
7884 17247 21471
357 18551 170707
1293 17673 100127
18104 15453 66235
12875 4950 189857
7985 2540 102937
15378 8615 148862
16906 9389 72211
4703 13748 174261
9685 12840 86009
9655 3573 145528
2766 4556 81614
16136 699 110393
4649 3354 144690
5320 3991 158633
12511 16390 194272
6990 12014 56535
8907 9097 80267
579 5567 178257
14982 4708 77959
10700 15408 90496
13709 11071 125186
16190 13777 109020
12750 561 115722
16102 6856 78905
18927 3868 165591
16975 18248 86978
16105 5438 13527
696 4925 192795
18461 15042 148923
6211 3690 33813
5537 15271 28798
10364 13089 189216
15342 17279 7008
17901 7660 76129
6956 966 124182
14702 12014 28833
7354 888 9574
4704 2378 157814
959 7069 130675
12923 18906 196709
19814 4241 184360
10399 17126 34186
18653 19378 24714
7100 14880 79451
3382 8396 116201
4393 3356 68866
16660 16478 138538
362 13277 134703
10798 5091 92454
11570 2199 112728
18669 1185 49568
9418 18916 82243
4447 13232 96001
9340 4227 59935
6487 1200 96942
12071 8408 169853
19306 13840 179023
14748 9064 35114
16263 15965 54959
15416 11201 75845
16459 2096 18695
13632 9294 99283
15845 18625 126355
3191 19008 164698
3236 710 155600
8982 9186 117920
8502 16097 53115
13545 9013 180418
10411 3632 80686
8640 13060 34440
7289 16135 197177
7956 11264 15207
4194 6668 105169
14699 15491 42331
14769 11603 122799
1907 5492 20553
1595 8113 134850
13150 1231 143688
5551 4873 142409
94 13211 34965
2653 9706 99378
2759 12722 90305
16968 8476 109408
10733 14237 112604
8622 2011 54825
12289 787 131713
8050 13239 48949
16940 16331 20776
10982 16612 121680
12457 2343 70966
1479 6044 182031
11904 3619 120370
7173 16500 59556
2696 8600 70979
18020 14133 67642
1968 2996 175351
2618 13048 113024
9107 17871 188197
15089 7943 86054
11120 7873 162672
17920 19185 80205
9030 5448 160766
12229 6223 82144
887 17114 155751
5102 4716 126352
10261 11389 42486
9317 7580 146488
280 19179 78959
19171 1411 72601
3067 15340 161285
4895 8699 53752
18799 5588 33652
12379 5794 58572
14390 18433 173078
4787 9009 81284
5898 14946 11961
19057 4300 142165
14169 10716 67790
6373 3323 34331
8959 1937 154345
17265 13620 82421
19444 11820 120051
18782 15849 97521
3493 414 147212
3529 744 181164
19086 15502 187696
5905 176 16752
5635 17673 143203
11374 4745 1866
7775 16208 15934
18762 19919 136978
14830 12892 199383
3591 15750 118238
4484 16068 13925
14254 393 15205
16039 16603 45394
4342 12126 81218
15155 2938 59303
1094 12704 24355
13169 5377 85689
2898 9421 19273
2694 1710 146182
8519 5034 116339
18167 16116 96441
19819 12014 156494
16115 138 15077
2089 10133 21832
10685 19404 185925
6873 13416 93731
457 3665 162258
13227 8022 3677
18742 4036 91370
14110 13604 30042
18400 15889 49836
7056 4255 35347
1179 6102 23617
14011 16178 94523
15663 18306 89896
9032 19832 54320
12405 17059 81419
7242 1804 37196
3336 16224 172021
9277 1122 167293
9104 5132 69347
2832 7707 120766
13992 15714 182088
14624 4944 46659
6136 9832 123540
10446 18278 44738
12672 12486 72763
12647 1676 84970
8720 10706 161107
14941 4530 74095
9528 15163 78615
7838 9835 198839
18659 4142 196559
7042 676 185814
1379 6937 54201
12080 116 61992
14953 520 76396
9500 16257 61164
8893 18807 153113
104 5797 121526
19684 6481 91351
16712 7511 116252
13536 9850 107821
19872 4251 143535
11678 15336 110076
19782 8413 193135
398 19758 146997
19845 5068 145974
17833 19217 102170
6851 3942 193696
11497 836 47385
16589 8447 103329
1450 12484 100032
16875 18564 67849
1518 5592 190453
7879 834 189494
15838 7388 70936
2722 4912 3308
7279 6388 146557
18933 16499 47242
3121 10075 9513
8839 17710 33831
1327 16029 193283
12313 5216 147135
13066 5767 85987
7293 4550 52479
9536 8329 66526
13353 425 30496
14804 17571 48922
9949 11661 83215
7136 2891 91118
8224 2605 23587
6390 4876 59933
18364 3402 193109
15970 13171 195651
9795 5065 162818
19586 16614 39848
17630 18814 165474
2952 17166 132068
6300 14132 75775
9299 15075 43069
19670 12891 153700
15126 9359 24435
4103 4175 75644
8296 4144 138650
7826 1894 142170
6953 10072 2998
9423 17954 196603
4530 18092 14539
15310 11880 82524
7694 2891 107129
17500 2698 82623
1114 15782 140903
18660 774 90380
4727 7121 121880
16372 7782 16263
7852 18858 101728
9966 7624 41829
18351 13214 144929
17435 13738 44588
2528 16512 99131
18105 6104 108902
16116 1583 9758
16071 18792 107423
5494 889 92136
13527 6673 133923
19089 16969 8505
15714 3596 87944
16258 3214 89331
9464 6607 124016
8881 11454 171265
3298 7316 141190
14511 11383 108704
16253 15503 19443
6347 19949 118289
4911 4297 78536
9605 18605 67613
14498 3300 195150
16558 3463 68888
14852 12900 140173
15082 18756 68312
18702 10833 60334
4968 4663 96956
9984 18556 109253
7589 8745 12665
5145 11693 177787
10587 6523 6752
17843 17066 105548
19526 3660 61555
19786 14424 196260
5173 17077 25613
8800 12838 64519
9554 9251 69115
5715 9244 52878
16605 14984 58229
10874 11940 154406
4898 4427 47907
6403 944 66720
3432 3272 10523
17065 15257 59198
12388 6547 117576
16407 4175 167479
3020 842 62679
1785 6446 78472
5066 5375 10606
19653 8447 157161
2627 17555 131454
11624 16087 35010
575 9693 144565
5829 16722 72448
11257 2343 77351
7315 11773 11817
1512 6152 31660
5245 13096 70910
6880 4588 147664
13908 19054 176216
327 5959 55052
9057 14015 8591
11880 9816 76584
18666 7942 11721
6084 5713 158343
9173 16984 19224
17132 6193 140846
2988 16839 186351
13669 2352 184775
14616 1415 24802
8999 12370 115391
10443 13692 115957
15526 2111 181690
9677 11306 47658
7909 9906 126453
7500 18635 51101
14058 1329 27474
14320 12591 125008
4965 17229 15219
2231 17935 135104
1607 7479 5972
16530 15083 107299
164 14740 172614
11367 4109 129126
344 5598 57870
15314 11365 24334
413 9474 140846
2839 17943 124874
4732 16531 172851
11881 8841 157417
8700 18347 60099
18373 940 25012
8228 11972 78218
5305 12584 94182
5473 17458 109563
13373 736 63227
5979 16532 180361
755 7494 159965
9490 4745 99473
18685 2102 43806
18295 10107 15689
14195 10948 85247
4624 4217 66759
4368 5235 85767
12716 624 51483
18217 18773 10524
17819 8118 83796
2674 11519 176868
2624 2364 47039
17158 10476 31706
6969 7237 105953
17527 17492 23594
1466 13572 103997
17903 8707 157371
19497 8429 158070
14896 7248 45680
9012 2827 35604
4562 5663 110033
1430 13854 3067
16932 6615 35564
11784 8170 39256
15836 9693 153865
18487 12433 67745
5990 6553 163157
16040 4297 195744
16028 245 40025
11739 2270 140327
16905 13666 92637
18718 18211 28260
18607 17588 53520
3945 497 60928
13701 8728 3154
15498 4744 127022
200 11152 110209
12141 7512 13403
13268 1367 65241
18386 6235 169327
10235 5859 174419
14622 3101 122115
3422 15008 106382
5652 3952 150586
16349 1019 40815
10284 2964 95853
4317 9784 51267
14255 9578 101781
15834 15490 115535
5182 17225 30105
2548 2396 179164
7209 8152 55539
7027 118 101416
7945 1776 107928
1982 14761 37388
3577 16592 167047
8500 4440 113980
16341 15585 61812
1132 17153 96759
4350 9380 35386
679 18833 170183
15073 7887 105334
2232 8802 190252
14243 14167 107077
11807 15870 126988
13334 1509 38921
19929 14280 96069
17539 18300 84770
14676 5448 18627
2540 13477 45765
11587 498 133158
1411 15548 196708
14895 15408 178473
13458 17269 171086
3405 13243 165335
2616 15914 12591
15083 8439 12524
2441 17687 94819
16590 9342 135174
13995 18453 155146
15686 3379 146810
9991 10189 70587
19710 2820 146277
19905 19953 94168
4513 9742 198893
6769 18086 78930
9041 16089 152357
7182 5394 3245
15340 19182 116317
11970 18208 97802
14707 6097 155093
3856 1270 127941
16677 464 197770
11704 16371 66613
17448 13466 126627
9216 6655 167768
9950 14032 12013
19406 11519 113080
12732 17299 47412
19326 6218 36689
4946 8321 72034
12097 10331 112913
19674 14066 8554
8579 9311 193958
7511 17978 187324
6059 10898 75586
14627 15811 198842
9497 5884 156170
2424 18361 175917
11885 19922 115918
16212 5196 58416
7305 14104 179013
16097 3996 10008
5872 16595 182441
12900 11300 169609
15490 11322 87405
63 13737 163005
11628 13194 157621
1633 614 113716
2998 6636 25333
18946 12246 187464
11610 13666 110894
10247 12181 12525
4844 2496 183339
5042 3868 90111
1932 3677 6640
11844 6632 25470
16944 2709 56456
4095 18290 188943
19276 18122 39447
7827 13444 26523
6286 15317 181160
15079 18191 188154
8089 637 173069
19931 13770 152418
3239 4751 3872
6124 1107 29286
16980 16038 9642
2691 7869 32565
14363 10524 197751
7899 9816 81997
13283 19849 31739
3973 13628 146172
5966 10272 51893
1544 6247 106373
14029 7154 117293
4411 13889 15811
18550 6495 119647
8361 10613 90931
17828 7298 168780
4611 10380 100212
16176 2370 189580
8585 19132 132314
5969 7849 134829
3947 8648 16889
13018 19525 64986
3083 3129 194306
15320 12928 66994
14440 4414 170874
14348 13205 193089
14808 18859 120846
14555 50 132468
18137 11224 38710
14505 14308 175249
19102 18556 75686
7508 1120 10627
18204 6862 128009
17210 9488 52863
18605 12433 17861
16564 11872 2834
9282 6788 98306
3322 6645 20962
3464 14475 164457
2079 17068 38198
10803 3846 197607
19188 12417 27907
17710 14617 96221
13114 9097 154645
2984 5327 84814
7097 4173 55322
245 6341 175981
12485 4800 62948
9089 8574 21601
4247 9663 46110
8216 14867 82413
15763 2307 125841
17244 9663 80631
18580 17305 98492
10171 12538 44910
13552 426 74505
2041 1778 115858
4744 14829 77936
15491 2073 168262
2681 14012 98650
7732 7243 44033
7625 3792 1785
7235 11187 19523
2726 13409 79745
14639 9673 198108
1872 19512 2670
5369 2646 140532
19988 16561 88262
6267 917 108062
14634 18955 79415
10531 613 158812
8911 9739 149387
732 6495 88427
4721 17011 156702
14885 13134 61885
16004 6189 76269
16695 12657 42856
801 11871 96907
13075 3206 28356
12444 9569 83785
1361 8710 108536
3868 535 113494
8863 18345 2335
13532 14167 122792
19285 4741 196641
17604 15984 162303
5575 6974 144608
6017 6877 31295
8921 16175 56067
14545 9327 145729
2413 7424 95700
12800 4588 90774
13718 11312 98040
6019 7878 22797
16987 15008 116077
12036 19826 83601
1138 5545 184662
7934 11025 154202
9498 9462 181840
12449 15 162963
11492 5771 41606
15078 834 79650
14934 7935 27396
8132 18854 69062
3203 7464 112967
1960 12 12784
13634 19545 104063
18869 1609 108479
10099 14848 100875
13528 9329 123804
7090 15499 29847
10468 2698 65607
12198 11384 90164
1925 2560 171041
19914 5936 146826
8424 3463 132478
2883 3758 84148
13675 10822 98253
2210 1506 12531
12370 16774 55841
9974 5633 43144
18482 5680 58335
8266 17555 24274
6694 60 11890
4531 7155 38039
9483 14746 59255
11321 839 28223
12018 14832 12927
3688 585 63475
16534 9329 185583
12717 15903 144563
2855 4094 4484
17671 13825 80628
427 11855 25679
8704 10743 44602
4045 14149 176818
7124 14333 47860
7542 15950 127077
16831 19640 66241
11130 13101 10585
17545 2179 87668
17027 4967 19323
6566 6568 147904
6002 7981 119274
3116 19353 119506
12020 11260 94250
15932 11749 159628
5387 623 16541
11714 9512 157420
19665 3624 16596
5024 15289 5572
709 17457 120634
611 411 41245
19231 16315 83447
15934 11752 176094
5886 83 76348
15649 4329 154842
17860 497 155300
6818 9157 92246
10763 5975 36569
14653 14773 54000
4716 9600 56791
5838 1059 125306
13178 2369 199909
15552 19321 194789
8170 11444 25450
11898 10664 35165
8396 16628 123612
2932 10929 86064
238 614 164394
5633 3253 96286
11223 6404 14854
3253 17627 172191
5678 7085 80402
917 8529 169180
2225 3423 33789
10455 8691 43149
7688 5471 7965
12651 12571 123072
7849 16347 34387
2757 11796 75461
7678 6236 8382
8134 13215 72751
1815 19997 11928
5124 1531 157823
14356 17181 144500
13629 1697 32083
16531 18994 2368
4802 2365 79228
347 1856 139841
19721 2029 122381
9723 13195 134953
2934 11713 95112
6058 14566 66753
18770 2879 168066
17070 1388 110914
10716 10416 135957
7647 11591 29983
2290 17767 27399
2061 15862 25616
10845 10024 194359
9684 8740 72298
11872 16645 132338
1080 8195 159827
4322 9319 9544
15085 6887 66382
6611 3330 39622
1766 6940 131661
13180 17972 14946
15869 3023 131752
17962 14273 49347
1320 3644 89579
16873 1373 130875
11322 2060 17721
4295 153 35408
4514 7950 96773
19381 2868 37673
2246 5922 54723
2073 17498 81549
15771 13831 177992
17096 3685 188475
1092 3653 119800
9682 8067 105730
3573 4528 185596
21 1025 99640
1572 4086 95255
3514 4791 74086
6703 7436 173288
16315 7204 153535
17407 17451 79706
3228 18758 172053
11117 13472 100121
11733 1357 24836
7524 11890 88466
8587 8451 11417
4538 4253 46218
5509 2284 37995
8627 13546 195932
6860 3368 144155
4652 8903 72678
15253 11718 170379
10056 854 142964
6212 8886 104303
18046 6865 134130
3266 664 154314
2632 16543 135855
7184 6641 196674
11154 6638 166862
10754 17290 194775
4960 5797 73359
4340 6929 83305
18633 12709 174946
4870 9512 56529
5363 17858 36151
4634 8852 9231
59 11514 191518
20000 11681 60283
19058 8107 109893
14309 11103 124290
4937 8444 196002
4117 9370 1633
1631 5236 68999
3114 13435 159778
18439 16951 99781
13351 889 64339
17514 2167 152142
1708 1189 153264
399 3143 116985
17466 4021 134276
558 15961 1255
17034 17382 191031
14384 8478 31572
5512 1751 114119
3044 3569 101232
10334 12250 193058
12797 900 39794
2899 16000 123501
10349 15933 40654
10604 17589 127714
14642 785 155071
19679 14193 107398
13590 1763 13317
2740 7160 71361
7553 641 72345
19386 5074 28027
6348 13089 53480
9300 2018 193360
11490 9524 12635
186 6221 68878
7584 7746 61624
13046 7722 5170
7064 19104 60156
13905 8326 198134
19860 11246 134290
11595 11457 140683
17153 18205 72542
15823 3574 7073
6563 301 163401
11498 9784 146769
10372 9116 109036
7972 7967 67087
7872 18447 93978
18096 16161 101173
17190 9092 20323
17392 105 17295
6838 7878 137797
388 12442 8950
992 14433 161849
11337 9931 4194
1933 2850 192513
10911 9313 70667
10167 14426 59620
9265 6485 83698
6068 6351 136400
11070 6948 21235
7039 14 189946
738 10745 185013
354 14983 179641
3357 3523 39778
5833 17516 170878
17727 13489 52459
13208 17583 194396
16425 16117 47250
15257 5189 104899
14304 1723 128441
4401 4814 127655
10743 9906 55084
10940 5815 138161
17625 2081 63273
6619 15408 24495
4208 14336 13530
16126 6472 47341
408 17733 127111
16149 7714 24803
11690 11916 171379
11697 4460 2590
7225 1322 193377
12088 7969 106274
13587 15852 193353
18513 19876 20819
16888 3333 146659
13139 11091 139188
3254 2687 45402
13292 19644 162952
18827 10729 178006
2487 7 134557
2024 3305 158938
10335 5545 151375
14721 8986 102908
18092 18382 67989
120 18459 116513
19443 4868 176532
12251 13321 157265
6240 15885 157852
17166 7596 154431
11782 18366 25794
16013 4326 33832
5815 5758 63027
12207 4466 102817
17502 10121 153930
15401 11083 76584
10196 6034 78061
13756 17386 192230
3103 18016 10698
7385 964 6186
16339 14047 3884
9621 12595 107914
18141 18340 185490
19559 16996 121
11168 12663 100145
19008 8041 111670
13685 9462 40202
10875 2763 146798
11525 13442 144338
2788 10181 60395
14366 3477 185272
18117 19163 73838
12866 16221 66007
84 3182 83410
9957 14557 156902
19724 6962 101066
13800 4052 147815
10825 2268 8041
11141 7650 146537
8938 3273 165881
18531 11601 3301
11356 4067 191187
10388 5760 96645
